"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"workflow","SparePartOutBoundWorkFlow","完成不允许的操作","3","0","0","0","0"
"workflow","ThingInspectionWorkFlow","巡检完成不允许的操作","0","4","0","0","0"
"workflow","ThingMaintenanceWorkFlow","待保养不允许的操作","0","0","3","0","0"
"thing","createThing","不填写选填项","0","0","1","0","0"
"workflow","ThingRepairWorkFlow","维修中不允许的操作","0","0","5","0","0"
"sparePartReceipt","createSparePartReceipt","不填写选填项","0","0","1","0","0"
"department","createDepartment","不填写选填项","0","0","1","0","0"
"sparePart","querySparePart","正确查询","0","0","1","0","0"
"thingInspection","updateThingInspection","所有项完整","0","0","1","0","0"
"workflow","ThingMaintenanceWorkFlow","保养中--反馈->审核中--审核拒绝->保养中--再次反馈->审核中--审核通过->保养完成","0","0","1","0","0"
"Role","updateRole","不填写选填项","0","0","1","0","0"
"workflow","SparePartOutBoundWorkFlow","申领->待审核->审核拒绝->拒绝","0","0","1","0","0"
"workflow","ThingRepairWorkFlow","反馈中不允许的操作","0","0","4","0","0"
"thing","queryThing","正确查询","0","0","1","0","0"
"file","uploadFile","upload_file success","0","0","7","0","0"
"sparePartOutBound","exportSparePartOutbounds","导出三项","0","0","1","0","0"
"workflow","ThingRepairWorkFlow","派工中->维修中->审核拒绝->重新提交->审核通过->维修中","0","0","1","0","0"
"thing","exportThings","导出三项","0","0","1","0","0"
"thingInspectionRule","updateThingInspectionRule","不填写选填项","0","0","1","0","0"
"workflow","ThingMaintenanceWorkFlow","保养中--反馈->审核中--审核通过->保养完成","0","0","1","0","0"
"employee","updateEmployee","所有项完整","0","0","1","0","0"
"sparePartReceipt","createSparePartReceipt","所有项完整","0","0","1","0","0"
"thingMaintenanceRule","updateThingMaintenanceRule","不填写选填项","0","0","1","0","0"
"Role","deleteRoles","删除3个","1","0","0","0","0"
"sparePartOutBound","updateSparePartOutbound","不填写选填项","1","0","0","0","0"
