"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Sep 16 11:53:31 CST 2020","Wed Sep 16 11:53:36 CST 2020","5201","interface.workFlow_test","test_sparePartOutboundFlow","TestSparePartOutBoundWorkFlow","","","test_8[re_submit]",""
"broken","Wed Sep 16 16:11:03 CST 2020","Wed Sep 16 16:11:14 CST 2020","11679","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_7[update]",""
"passed","Wed Sep 16 17:05:29 CST 2020","Wed Sep 16 17:05:35 CST 2020","5500","interface.workFlow_test","test_thingMaintanenceFlow","TestThingMaintenanceWorkFlow","","","test_7[audit_feed_reject]",""
"passed","Thu Sep 17 18:09:32 CST 2020","Thu Sep 17 18:09:33 CST 2020","238","interface.thing_test","test_createThing","TestCreateThing","","","test_2[variable0]",""
"passed","Wed Sep 16 11:58:01 CST 2020","Wed Sep 16 11:58:11 CST 2020","9872","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_9[audit_feed_reject]",""
"passed","Thu Sep 17 18:22:33 CST 2020","Thu Sep 17 18:22:34 CST 2020","1343","interface.sparePartReceipt_test","test_createSparePartReceipt","TestCreateSparePartReceipt","","","test_2[variable0]",""
"passed","Wed Sep 16 11:45:53 CST 2020","Wed Sep 16 11:45:54 CST 2020","71","interface.department_test","test_createDepartment","TestCreateDepartment","","","test_2[variable0]",""
"passed","Wed Sep 16 11:47:03 CST 2020","Wed Sep 16 11:47:08 CST 2020","4736","interface.sparePart_test","test_querySparePart","TestQuerySparePart","","","test_query_thing",""
"failed","Wed Sep 16 11:53:17 CST 2020","Wed Sep 16 11:53:24 CST 2020","6551","interface.workFlow_test","test_sparePartOutboundFlow","TestSparePartOutBoundWorkFlow","","","test_8[audit_pass]",""
"passed","Wed Sep 16 11:48:41 CST 2020","Wed Sep 16 11:48:49 CST 2020","7541","interface.thingInspection_test","test_updateThingInspection","TestUpdateThingInspection","","","test_1[variable0]",""
"passed","Wed Sep 16 17:01:43 CST 2020","Wed Sep 16 17:02:12 CST 2020","28857","interface.workFlow_test","test_thingMaintanenceFlow","TestThingMaintenanceWorkFlow","","","test_2",""
"passed","Wed Sep 16 11:45:53 CST 2020","Wed Sep 16 11:45:53 CST 2020","297","interface.Role_test","test_updateRole","TestUpdateRole","","","test_2[variable0]",""
"passed","Wed Sep 16 17:22:53 CST 2020","Wed Sep 16 17:24:06 CST 2020","73162","interface.workFlow_test","test_sparePartOutboundFlow","TestSparePartOutBoundWorkFlow","","","test_3",""
"passed","Wed Sep 16 11:58:45 CST 2020","Wed Sep 16 11:59:03 CST 2020","17888","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_10[audit_pass]",""
"passed","Wed Sep 16 11:59:03 CST 2020","Wed Sep 16 11:59:22 CST 2020","18477","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_10[audit_reject]",""
"passed","Wed Sep 16 11:52:22 CST 2020","Wed Sep 16 11:52:24 CST 2020","1963","interface.thing_test","test_queryThing","TestQueryThing","","","test_query_thing",""
"passed","Wed Sep 16 11:46:02 CST 2020","Wed Sep 16 11:46:02 CST 2020","3","interface.file_test","test_uploadFile","TestUploadFile","","","test_add_right[upload_file5]",""
"passed","Wed Sep 16 11:46:12 CST 2020","Wed Sep 16 11:46:14 CST 2020","2030","interface.sparePartOutBound_test","test_exportSparePartOutbounds","TestQueryExportSparePartOutbounds","","","test",""
